first;second;tupleType;plagType;plagTypeGroup;tool;avg similarity;max similarity
2017-2;2022-3;Original-Original;;;JPlag;19.047619047619047;21.666666666666668
2019-1;2019-2;Original-Original;;;JPlag;18.77022653721683;21.804511278195488
2019-4;2022-3;Original-Original;;;JPlag;18.726591760299627;21.929824561403507
2021-2;2020-2;Original-Original;;;JPlag;18.63799283154122;19.84732824427481
2019-4;2021-3;Original-Original;;;JPlag;18.473895582329316;20.175438596491226
2021-1;2019-4;Original-Original;;;JPlag;18.2648401826484;19.047619047619047
2021-2;2019-1;Original-Original;;;JPlag;18.181818181818183;18.3206106870229
2023-3;2020-2;Original-Original;;;JPlag;18.181818181818183;18.84057971014493
2016-2;2022-3;Original-Original;;;JPlag;18.181818181818183;19.548872180451127
2017-2;2016-1;Original-Original;;;JPlag;17.99307958477509;21.666666666666668
2023-1;2018-5;Original-Original;;;JPlag;17.898832684824903;22.330097087378643
2017-1;2019-3;Original-Original;;;JPlag;17.857142857142858;20.66115702479339
2016-2;2020-2;Original-Original;;;JPlag;17.793594306049823;18.796992481203006
2019-1;2020-2;Original-Original;;;JPlag;17.793594306049823;18.796992481203006
2020-1;2022-1;Original-Original;;;JPlag;17.647058823529413;20.76923076923077
2020-1;2021-2;Original-Original;;;JPlag;17.624521072796934;17.692307692307693
2018-3;2017-1;Original-Original;;;JPlag;17.573221757322173;17.796610169491526
2017-1;2018-5;Original-Original;;;JPlag;17.454545454545457;19.834710743801654
2021-2;2016-2;Original-Original;;;JPlag;17.424242424242426;17.557251908396946
2018-3;2016-1;Original-Original;;;JPlag;17.421602787456447;21.1864406779661
2016-2;2016-1;Original-Original;;;JPlag;17.218543046357617;19.548872180451127
2021-3;2016-1;Original-Original;;;JPlag;17.105263157894736;19.25925925925926
2021-2;2023-2;Original-Original;;;JPlag;17.100371747211895;17.557251908396946
2020-2;2019-3;Original-Original;;;JPlag;16.938110749185668;17.56756756756757
2021-2;2022-3;Original-Original;;;JPlag;16.901408450704224;18.3206106870229
2023-1;2021-3;Original-Original;;;JPlag;16.80672268907563;19.41747572815534
2022-3;2016-1;Original-Original;;;JPlag;16.77018633540373;17.647058823529413
2023-1;2020-2;Original-Original;;;JPlag;16.733067729083665;20.388349514563107
2020-1;2019-1;Original-Original;;;JPlag;16.730038022813687;16.923076923076923
2018-3;2021-3;Original-Original;;;JPlag;16.600790513833992;17.796610169491526
2022-3;2022-1;Original-Original;;;JPlag;16.41337386018237;17.647058823529413
2019-3;2022-1;Original-Original;;;JPlag;16.119402985074625;16.9811320754717
2023-1;2017-3;Original-Original;;;JPlag;16.071428571428573;17.475728155339805
2020-2;2022-1;Original-Original;;;JPlag;16.049382716049383;17.56756756756757
2022-3;2019-3;Original-Original;;;JPlag;16.025641025641026;16.33986928104575
2017-3;2019-3;Original-Original;;;JPlag;15.714285714285714;18.181818181818183
2023-2;2016-1;Original-Original;;;JPlag;15.63517915309446;17.391304347826086
2019-1;2023-2;Original-Original;;;JPlag;15.498154981549817;15.789473684210526
2018-5;2016-1;Original-Original;;;JPlag;15.479876160990713;16.233766233766232
2017-1;2023-2;Original-Original;;;JPlag;15.444015444015443;16.528925619834713
2022-3;2020-2;Original-Original;;;JPlag;15.282392026578073;15.54054054054054
2018-3;2021-2;Original-Original;;;JPlag;15.261044176706829;16.101694915254235
2016-2;2022-1;Original-Original;;;JPlag;14.886731391585762;17.293233082706767
2017-3;2022-1;Original-Original;;;JPlag;14.814814814814813;18.181818181818183
2019-1;2023-3;Original-Original;;;JPlag;14.760147601476014;15.037593984962406
2021-1;2022-3;Original-Original;;;JPlag;14.728682170542637;18.095238095238095
2023-3;2019-2;Original-Original;;;JPlag;14.64968152866242;16.666666666666664
2017-2;2018-5;Original-Original;;;JPlag;14.5985401459854;16.666666666666664
2019-4;2019-1;Original-Original;;;JPlag;14.5748987854251;15.789473684210526
2019-4;2019-2;Original-Original;;;JPlag;14.482758620689657;18.421052631578945
2019-1;2021-3;Original-Original;;;JPlag;14.17910447761194;14.285714285714285
2017-1;2016-2;Original-Original;;;JPlag;14.173228346456693;14.87603305785124
2017-1;2020-2;Original-Original;;;JPlag;14.12639405204461;15.702479338842975
2021-2;2018-5;Original-Original;;;JPlag;14.035087719298245;15.267175572519085
2023-2;2022-1;Original-Original;;;JPlag;14.012738853503185;15.942028985507244
2017-3;2018-5;Original-Original;;;JPlag;13.818181818181818;15.702479338842975
2019-4;2022-1;Original-Original;;;JPlag;13.793103448275861;17.543859649122805
2021-2;2022-1;Original-Original;;;JPlag;13.680781758957655;16.030534351145036
2022-3;2018-5;Original-Original;;;JPlag;13.680781758957655;13.725490196078432
2019-1;2022-1;Original-Original;;;JPlag;13.592233009708737;15.789473684210526
2023-1;2018-3;Original-Original;;;JPlag;13.574660633484163;14.563106796116504
2018-3;2016-2;Original-Original;;;JPlag;13.545816733067728;14.40677966101695
2023-3;2019-3;Original-Original;;;JPlag;13.468013468013467;14.492753623188406
2023-2;2020-2;Original-Original;;;JPlag;13.286713286713287;13.768115942028986
2017-2;2017-1;Original-Original;;;JPlag;13.278008298755188;13.333333333333334
